2026-04-23 15:03:44 | INFO     | photo_segregator.review_cli | Saved 16 corrections to output\_metadata\corrections.json
2026-04-23 15:03:44 | INFO     | photo_segregator.embedding_cache | Loaded 29 cached embeddings
2026-04-23 15:03:44 | INFO     | photo_segregator.embedding_cache | Loaded metadata for 29 faces
2026-04-23 15:03:44 | INFO     | photo_segregator.semi_supervised | Learned from corrections: 12 identities → 12 total known
2026-04-23 15:03:44 | INFO     | photo_segregator.semi_supervised | Saved 12 known identities to output\_metadata\known_identities.npz
2026-04-23 15:06:20 | INFO     | photo_segregator | ============================================================
2026-04-23 15:06:20 | INFO     | photo_segregator |   PHOTO SEGREGATOR PIPELINE
2026-04-23 15:06:20 | INFO     | photo_segregator | ============================================================
2026-04-23 15:06:20 | INFO     | photo_segregator | Input:  ./photos
2026-04-23 15:06:20 | INFO     | photo_segregator | Output: ./output
2026-04-23 15:06:20 | INFO     | photo_segregator | Mode:   full
2026-04-23 15:06:20 | INFO     | photo_segregator | 
[1/13] Initializing components...
2026-04-23 15:06:20 | INFO     | photo_segregator | 
[2/13] Discovering images...
2026-04-23 15:06:20 | INFO     | photo_segregator.image_loader | Discovered 11 images in './photos' (recursive=True)
2026-04-23 15:06:20 | INFO     | photo_segregator | 
[3/13] Processing 11 images (detect → align → quality → embed)...
2026-04-23 15:06:20 | INFO     | photo_segregator.face_detector | Available ONNX Runtime providers: ['AzureExecutionProvider', 'CPUExecutionProvider']
2026-04-23 15:06:20 | INFO     | photo_segregator.face_detector | Initializing FaceAnalysis with model_pack='buffalo_l', providers=['CPUExecutionProvider']
2026-04-23 15:06:22 | INFO     | photo_segregator.face_detector | FaceDetector initialized successfully (det_size=(640, 640), det_thresh=0.5)
2026-04-23 15:06:26 | INFO     | photo_segregator.embedding_extractor | EmbeddingExtractor initialized (dim=512)
2026-04-23 15:07:01 | INFO     | photo_segregator | Processed 29 faces (0 skipped)
2026-04-23 15:07:01 | INFO     | photo_segregator | 
[6/13] Saving embedding cache...
2026-04-23 15:07:01 | INFO     | photo_segregator.embedding_cache | Saved 29 embeddings to output\_metadata\embeddings.npz
2026-04-23 15:07:01 | INFO     | photo_segregator.embedding_cache | Saved metadata for 29 faces to output\_metadata\face_metadata.json
2026-04-23 15:07:01 | INFO     | photo_segregator | 
[7/13] Semi-supervised classification...
2026-04-23 15:07:01 | INFO     | photo_segregator.semi_supervised | Loaded 12 known identities
2026-04-23 15:07:01 | INFO     | photo_segregator.semi_supervised | Semi-supervised classification: 20 known, 9 unknown out of 29
2026-04-23 15:07:01 | INFO     | photo_segregator | 
[8/13] UMAP dimensionality reduction...
